dataset,algorithm,corr_threshold,const_threshold,seed,line_number
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,203,175
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,411,176
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,89,177
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,356,178
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,27,179
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.1,489,180
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,145,181
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,278,182
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,392,183
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,49,184
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,203,185
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,411,186
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,89,187
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,356,188
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,27,189
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.15,489,190
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,145,191
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,278,192
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,392,193
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,49,194
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,203,195
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,411,196
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,89,197
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,356,198
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,27,199
dados_atuais_listagem_nominal-dv.csv,rf,0.8,0.2,489,200
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,145,201
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,278,202
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,392,203
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,49,204
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,203,205
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,411,206
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,89,207
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,356,208
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,27,209
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.05,489,210
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,145,211
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,278,212
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,392,213
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,49,214
dados_atuais_listagem_nominal-dv.csv,rf,0.85,0.1,203,215
